alignment_deviation,body_visibility,forward_head_posture,frame_idx,frame_name,head_tilt_angle,knee_angle,left_shoulder_elev,lower_body_visible,neck_flexion,right_shoulder_elev,shoulder_symmetry,source_video,stance_stability,task_label,timestamp_sec,trunk_flexion,upper_body_visible,weight_shift_offset,wrist_deviation_angle
9.17,2.0,35.13,,yt03_001534.jpg,35.13,76.42,149.96,True,101.87,137.18,10.9,yt03,0.7,Neutral Standing,,128.87,True,0.75,31.82
11.51,2.0,50.1,,yt03_001947.jpg,50.1,139.06,142.3,True,177.4,79.23,8.35,yt03,0.7,Neutral Standing,,121.42,True,2.79,19.52
15.11,2.0,13.51,,yt03_002006.jpg,13.51,53.78,119.03,True,163.72,92.31,11.07,yt03,0.7,Neutral Standing,,116.85,True,0.3,6.92
15.42,2.0,52.44,,yt03_002537.jpg,52.44,161.12,140.12,True,96.44,137.93,3.31,yt03,0.7,Neutral Standing,,143.79,True,0.54,78.53
15.79,2.0,47.15,,yt03_002596.jpg,47.15,170.56,151.24,True,102.35,140.54,6.68,yt03,0.7,Neutral Standing,,142.69,True,0.65,88.82
15.7,2.0,48.03,,yt03_002655.jpg,48.03,137.84,151.97,True,95.81,141.79,2.85,yt03,0.7,Neutral Standing,,144.83,True,0.53,84.12
11.84,2.0,32.75,,yt03_002950.jpg,32.75,166.43,101.98,True,87.45,107.43,20.47,yt03,0.7,Neutral Standing,,164.36,True,19.07,24.86
13.65,2.0,57.7,,yt03_003009.jpg,57.7,177.23,114.81,True,14.13,112.7,26.49,yt03,0.7,Neutral Standing,,26.09,True,21.11,16.07
9.62,2.0,26.7,,yt03_003068.jpg,26.7,179.53,57.75,True,104.43,169.36,10.19,yt03,0.7,Neutral Standing,,171.91,True,15.4,49.43
16.3,2.0,33.57,,yt03_003245.jpg,33.57,54.58,105.33,True,70.98,102.65,0.68,yt03,0.7,Neutral Standing,,111.12,True,20.91,69.37
